file,start,end
cleaned_output.wav,0.0,0.384
cleaned_output.wav,0.416,0.6826666666666666
cleaned_output.wav,0.7573333333333333,0.9173333333333333
cleaned_output.wav,1.3226666666666667,1.3866666666666667
cleaned_output.wav,1.472,1.9093333333333333
cleaned_output.wav,2.2293333333333334,2.88
cleaned_output.wav,3.018666666666667,3.8933333333333335
cleaned_output.wav,3.936,4.010666666666666
cleaned_output.wav,4.096,4.330666666666667
cleaned_output.wav,4.394666666666667,4.64
cleaned_output.wav,4.714666666666667,5.173333333333333
cleaned_output.wav,5.408,5.696
cleaned_output.wav,5.728,5.994666666666666
cleaned_output.wav,6.485333333333333,7.328
cleaned_output.wav,7.381333333333333,8.213333333333333
cleaned_output.wav,8.256,8.384
cleaned_output.wav,8.693333333333333,9.066666666666666
cleaned_output.wav,9.856,9.973333333333333
cleaned_output.wav,10.058666666666667,10.421333333333333
cleaned_output.wav,10.442666666666666,10.517333333333333
cleaned_output.wav,10.613333333333333,10.933333333333334
cleaned_output.wav,10.954666666666666,11.050666666666666
cleaned_output.wav,11.114666666666666,11.413333333333334
cleaned_output.wav,11.530666666666667,11.808
cleaned_output.wav,11.818666666666667,12.138666666666667
cleaned_output.wav,12.437333333333333,12.544
cleaned_output.wav,12.565333333333333,12.672
cleaned_output.wav,12.778666666666666,12.853333333333333
cleaned_output.wav,12.917333333333334,12.949333333333334
cleaned_output.wav,12.970666666666666,13.088
cleaned_output.wav,13.12,13.322666666666667
cleaned_output.wav,13.642666666666667,13.856
cleaned_output.wav,13.930666666666667,14.133333333333333
cleaned_output.wav,14.293333333333333,14.506666666666666
cleaned_output.wav,14.528,14.784
cleaned_output.wav,14.858666666666666,15.082666666666666
cleaned_output.wav,15.285333333333334,16.234666666666666
